Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Status
,82,SMEManu82,Manufacturing,2100000,SME,Large,No,Yes,Yes,Rejected
,83,SMETrad83,Trading,600000,SME,Small,Yes,Yes,Yes,Rejected
,84,SMETrad84,Trading,2400000,SME,Small,Yes,Yes,No,Rejected
,85,SMEServ85,Services,4700000,SME,Small,No,No,Yes,Rejected
,86,SMETrad86,Trading,4200000,SME,Medium,Yes,No,No,Rejected
,87,SMETrad87,Trading,2600000,SME,Medium,No,Yes,Yes,Rejected
,88,SMEManu88,Manufacturing,900000,SME,Medium,Yes,Yes,No,Rejected
,89,SMEServ89,Services,1200000,SME,Small,No,Yes,No,Rejected
,90,SMETrad90,Trading,4400000,SME,Small,Yes,Yes,No,Rejected
,91,SMEServ91,Services,1100000,SME,Large,Yes,No,Yes,Rejected
,92,SMEServ92,Services,2900000,SME,Small,Yes,No,Yes,Rejected
,93,SMEServ93,Services,4300000,SME,Large,No,Yes,Yes,Rejected
,94,SMETrad94,Trading,4200000,SME,Large,Yes,Yes,No,Rejected
,95,SMETrad95,Trading,2500000,SME,Small,No,No,No,Rejected
,96,SMETrad96,Trading,4100000,SME,Medium,Yes,Yes,Yes,Rejected
,97,SMETrad97,Trading,3900000,SME,Medium,No,Yes,No,Rejected
,98,SMEManu98,Manufacturing,800000,SME,Medium,Yes,No,Yes,Rejected
,99,SMEManu99,Manufacturing,1900000,SME,Small,No,No,Yes,Rejected
,100,SMEManu100,Manufacturing,300000,SME,Medium,Yes,No,Yes,Rejected
,101,SMEManu101,Manufacturing,1200000,SME,Small,No,Yes,Yes,Rejected
,102,SMETrad102,Trading,3900000,SME,Large,No,No,No,Rejected
,103,SMEServ103,Services,700000,SME,Large,No,Yes,Yes,Rejected
,104,SMETrad104,Trading,1100000,SME,Small,No,Yes,No,Rejected
,105,SMEManu105,Manufacturing,2400000,SME,Large,No,No,No,Rejected
,106,SMEServ106,Services,2700000,SME,Large,No,No,No,Rejected
,107,SMEManu107,Manufacturing,4900000,SME,Medium,No,No,No,Rejected
,108,SMEServ108,Services,1500000,SME,Small,Yes,No,No,Rejected
,109,SMETrad109,Trading,400000,SME,Medium,Yes,Yes,Yes,Rejected
,110,SMEServ110,Services,1500000,SME,Small,Yes,Yes,No,Rejected
,111,SMETrad111,Trading,1300000,SME,Large,Yes,No,No,Rejected
,112,SMEManu112,Manufacturing,4000000,SME,Small,Yes,No,Yes,Rejected
,113,SMEManu113,Manufacturing,100000,SME,Large,No,No,Yes,Rejected
,114,SMEServ114,Services,900000,SME,Small,No,No,No,Rejected
,115,SMETrad115,Trading,4600000,SME,Medium,No,No,Yes,Rejected
,116,SMETrad116,Trading,2800000,SME,Medium,Yes,Yes,Yes,Rejected
,117,SMEManu117,Manufacturing,4800000,SME,Large,No,No,Yes,Rejected
,118,SMEManu118,Manufacturing,100000,SME,Medium,No,No,No,Rejected
,119,SMETrad119,Trading,1100000,SME,Large,Yes,Yes,No,Rejected
,120,SMEServ120,Services,2000000,SME,Medium,No,Yes,Yes,Rejected
,121,SMETrad121,Trading,5000000,SME,Small,Yes,No,No,Rejected
,122,SMETrad122,Trading,2400000,SME,Medium,Yes,Yes,Yes,Rejected
,123,SMEManu123,Manufacturing,1500000,SME,Large,Yes,Yes,No,Rejected
,124,SMEServ124,Services,3700000,SME,Small,No,Yes,Yes,Rejected
,125,SMEManu125,Manufacturing,3700000,SME,Small,Yes,Yes,No,Rejected
,126,SMEManu126,Manufacturing,3100000,SME,Medium,No,No,No,Rejected
,127,SMEManu127,Manufacturing,700000,SME,Small,No,No,Yes,Rejected
,128,SMEManu128,Manufacturing,4200000,SME,Large,Yes,No,No,Rejected
,129,SMEServ129,Services,800000,SME,Large,Yes,Yes,No,Rejected
,130,SMEManu130,Manufacturing,3800000,SME,Large,No,Yes,No,Rejected
,131,SMEManu131,Manufacturing,2100000,SME,Large,Yes,No,No,Rejected
,132,SMEManu132,Manufacturing,3700000,SME,Medium,No,No,No,Rejected
,133,SMEServ133,Services,2900000,SME,Large,No,Yes,Yes,Rejected
,134,SMEServ134,Services,500000,SME,Small,Yes,Yes,Yes,Rejected
,135,SMEServ135,Services,300000,SME,Medium,No,No,Yes,Rejected
,136,SMETrad136,Trading,200000,SME,Large,Yes,Yes,Yes,Rejected
,137,SMEManu137,Manufacturing,2600000,SME,Small,No,No,No,Rejected
,138,SMEServ138,Services,4300000,SME,Medium,Yes,Yes,Yes,Rejected
,139,SMETrad139,Trading,1300000,SME,Small,Yes,Yes,Yes,Rejected
,140,SMEServ140,Services,1900000,SME,Small,No,No,No,Rejected
,141,SMEServ141,Services,2500000,SME,Small,No,Yes,Yes,Rejected
,142,SMEServ142,Services,1300000,SME,Large,No,Yes,Yes,Rejected
,143,SMEManu143,Manufacturing,3000000,SME,Small,Yes,No,Yes,Rejected
,144,SMEServ144,Services,400000,SME,Large,No,No,No,Rejected
,145,SMEManu145,Manufacturing,3500000,SME,Medium,Yes,No,Yes,Rejected
,146,SMEManu146,Manufacturing,200000,SME,Medium,No,Yes,No,Rejected
,147,SMETrad147,Trading,800000,SME,Large,No,Yes,Yes,Rejected
,148,SMETrad148,Trading,5000000,SME,Small,Yes,No,No,Rejected
,149,SMEManu149,Manufacturing,1300000,SME,Large,Yes,No,No,Rejected
,150,SMEManu150,Manufacturing,400000,SME,Medium,No,No,No,Rejected
,151,SMETrad151,Trading,1100000,SME,Medium,No,Yes,Yes,Rejected
,152,SMEServ152,Services,3400000,SME,Medium,No,Yes,No,Rejected
,153,SMETrad153,Trading,1700000,SME,Medium,Yes,Yes,Yes,Rejected
,154,SMEManu154,Manufacturing,300000,SME,Medium,Yes,Yes,Yes,Rejected
,155,SMEServ155,Services,1600000,SME,Small,No,Yes,Yes,Rejected
,156,SMETrad156,Trading,2500000,SME,Small,Yes,No,Yes,Rejected
,157,SMEManu157,Manufacturing,4500000,SME,Large,Yes,No,No,Rejected
,158,SMEServ158,Services,3900000,SME,Small,No,Yes,Yes,Rejected
,159,SMEManu159,Manufacturing,1100000,SME,Medium,Yes,No,No,Rejected
,160,SMEManu160,Manufacturing,3900000,SME,Small,No,No,No,Rejected
,161,SMETrad161,Trading,3700000,SME,Small,Yes,No,Yes,Rejected
,162,SMEManu162,Manufacturing,1300000,SME,Medium,Yes,No,No,Rejected
,163,SMEManu163,Manufacturing,1800000,SME,Small,Yes,No,No,Rejected
,164,SMEServ164,Services,5000000,SME,Medium,No,No,No,Rejected
,165,SMEServ165,Services,2500000,SME,Large,Yes,Yes,Yes,Rejected
,166,SMEServ166,Services,700000,SME,Medium,Yes,Yes,Yes,Rejected
,167,SMETrad167,Trading,4200000,SME,Large,Yes,No,No,Rejected
,168,SMEServ168,Services,900000,SME,Small,Yes,Yes,Yes,Rejected
,169,SMEServ169,Services,2500000,SME,Medium,Yes,No,No,Rejected
,170,SMEManu170,Manufacturing,700000,SME,Large,No,No,No,Rejected
,171,SMEServ171,Services,1100000,SME,Small,Yes,No,No,Rejected
,172,SMETrad172,Trading,100000,SME,Large,No,Yes,Yes,Rejected
,173,SMETrad173,Trading,4900000,SME,Large,No,Yes,No,Rejected
,174,SMEServ174,Services,3300000,SME,Small,Yes,No,Yes,Rejected
,175,SMEServ175,Services,3300000,SME,Medium,No,No,Yes,Rejected
,176,SMETrad176,Trading,2700000,SME,Large,No,Yes,No,Rejected
,177,SMETrad177,Trading,1200000,SME,Medium,Yes,Yes,No,Rejected
,178,SMETrad178,Trading,400000,SME,Medium,No,Yes,Yes,Rejected
,179,SMEManu179,Manufacturing,1300000,SME,Medium,No,Yes,No,Rejected
,180,SMEManu180,Manufacturing,3400000,SME,Large,Yes,Yes,Yes,Rejected
,181,SMEServ181,Services,3700000,SME,Medium,Yes,Yes,Yes,Rejected
,182,SMETrad182,Trading,500000,SME,Medium,Yes,Yes,Yes,Rejected
,183,SMEManu183,Manufacturing,100000,SME,Large,Yes,Yes,No,Rejected
,184,SMETrad184,Trading,3500000,SME,Large,No,No,No,Rejected
,185,SMEManu185,Manufacturing,3000000,SME,Medium,Yes,No,Yes,Rejected
,186,SMEServ186,Services,4500000,SME,Large,No,No,No,Rejected
,187,SMEManu187,Manufacturing,1500000,SME,Small,Yes,Yes,No,Rejected
,188,SMEServ188,Services,5000000,SME,Medium,No,Yes,No,Rejected
,189,SMETrad189,Trading,1100000,SME,Large,Yes,Yes,No,Rejected
,190,SMEManu190,Manufacturing,4500000,SME,Medium,No,No,Yes,Rejected
,191,SMETrad191,Trading,4600000,SME,Small,Yes,No,No,Rejected
,192,SMEManu192,Manufacturing,2100000,SME,Large,No,No,No,Rejected
,193,SMEManu193,Manufacturing,4800000,SME,Large,Yes,Yes,Yes,Rejected
,194,SMEManu194,Manufacturing,2800000,SME,Large,No,No,Yes,Rejected
,195,SMEManu195,Manufacturing,4200000,SME,Large,No,Yes,Yes,Rejected
,196,SMETrad196,Trading,3300000,SME,Medium,Yes,No,No,Rejected
,197,SMEServ197,Services,2400000,SME,Medium,No,No,Yes,Rejected
,198,SMEServ198,Services,3000000,SME,Medium,Yes,No,Yes,Rejected
,199,SMETrad199,Trading,4400000,SME,Medium,Yes,No,Yes,Rejected
,200,SMEManu200,Manufacturing,1500000,SME,Large,Yes,Yes,Yes,Rejected
,201,SMEManu201,Manufacturing,1500000,SME,Large,Yes,Yes,Yes,Rejected
,202,SMEManu202,Manufacturing,3400000,SME,Large,No,Yes,Yes,Rejected
,203,SMEServ203,Services,3300000,SME,Small,Yes,Yes,No,Rejected
,204,SMEManu204,Manufacturing,3000000,SME,Medium,No,No,Yes,Rejected
,205,SMETrad205,Trading,700000,SME,Large,No,Yes,No,Rejected
,206,SMETrad206,Trading,1300000,SME,Large,No,No,No,Rejected
,207,SMEServ207,Services,1500000,SME,Medium,No,No,Yes,Rejected
,208,SMEManu208,Manufacturing,1900000,SME,Large,No,No,No,Rejected
,209,SMETrad209,Trading,400000,SME,Large,No,No,No,Rejected
,210,SMEServ210,Services,3800000,SME,Medium,No,No,No,Rejected
,211,SMEServ211,Services,4600000,SME,Large,Yes,Yes,Yes,Rejected
,212,SMEServ212,Services,400000,SME,Small,No,Yes,Yes,Rejected
,213,SMETrad213,Trading,2000000,SME,Medium,No,Yes,Yes,Rejected
,214,SMETrad214,Trading,3600000,SME,Large,No,No,Yes,Rejected
,215,SMETrad215,Trading,2400000,SME,Small,No,Yes,No,Rejected
,216,SMEServ216,Services,1100000,SME,Large,Yes,Yes,No,Rejected
,217,SMEManu217,Manufacturing,1900000,SME,Small,No,No,Yes,Rejected
,218,SMEManu218,Manufacturing,3200000,SME,Small,No,Yes,No,Rejected
,219,SMEManu219,Manufacturing,1700000,SME,Small,No,Yes,No,Rejected
,220,SMEManu220,Manufacturing,4000000,SME,Small,Yes,No,Yes,Rejected
,221,SMEManu221,Manufacturing,3400000,SME,Medium,No,Yes,No,Rejected
,222,SMEServ222,Services,3200000,SME,Large,Yes,Yes,Yes,Rejected
,223,SMETrad223,Trading,3100000,SME,Large,No,Yes,No,Rejected
,224,SMEManu224,Manufacturing,2200000,SME,Large,Yes,No,Yes,Rejected
,225,SMEServ225,Services,1400000,SME,Small,No,Yes,Yes,Rejected
,226,SMETrad226,Trading,4200000,SME,Large,Yes,No,No,Rejected
,227,SMEServ227,Services,4000000,SME,Medium,No,No,Yes,Rejected
,228,SMEManu228,Manufacturing,1700000,SME,Small,No,No,Yes,Rejected
,229,SMETrad229,Trading,2200000,SME,Small,Yes,Yes,No,Rejected
,230,SMEManu230,Manufacturing,2800000,SME,Medium,Yes,No,No,Rejected
,231,SMEServ231,Services,1300000,SME,Medium,Yes,No,Yes,Rejected
,232,SMEManu232,Manufacturing,3200000,SME,Large,No,No,Yes,Rejected
,233,SMETrad233,Trading,1500000,SME,Small,Yes,No,Yes,Rejected
,234,SMETrad234,Trading,4900000,SME,Large,No,Yes,No,Rejected
,235,SMEManu235,Manufacturing,2600000,SME,Small,No,No,No,Rejected
,236,SMEManu236,Manufacturing,4500000,SME,Medium,No,Yes,Yes,Rejected
,237,SMEManu237,Manufacturing,3400000,SME,Medium,Yes,Yes,Yes,Rejected
,238,SMETrad238,Trading,900000,SME,Medium,Yes,No,No,Rejected
,239,SMEServ239,Services,1700000,SME,Small,Yes,Yes,Yes,Rejected
,240,SMEManu240,Manufacturing,900000,SME,Medium,Yes,No,No,Rejected
,241,SMETrad241,Trading,2000000,SME,Large,No,Yes,Yes,Rejected
,242,SMETrad242,Trading,4900000,SME,Large,No,No,Yes,Rejected
,243,SMEManu243,Manufacturing,2700000,SME,Large,No,No,No,Rejected
,244,SMETrad244,Trading,2300000,SME,Large,No,Yes,Yes,Rejected
,245,SMEServ245,Services,3800000,SME,Medium,Yes,No,Yes,Rejected
,246,SMEServ246,Services,5000000,SME,Medium,No,Yes,No,Rejected
,247,SMETrad247,Trading,100000,SME,Medium,Yes,No,Yes,Rejected
,248,SMETrad248,Trading,4500000,SME,Medium,Yes,Yes,Yes,Rejected
,249,SMEManu249,Manufacturing,1300000,SME,Medium,Yes,No,Yes,Rejected
,250,SMEManu250,Manufacturing,4100000,SME,Large,No,No,No,Rejected
