Applicant ID,Applicant's Industry,Loan Amount Requested,Loan Category,Applicant's Category,Income Document Submitted,KYC Submitted,Business Proof Submitted,Status
SMEServ34,Services,1300000,SME,Medium,No,Yes,Yes,Rejected
SMEManu35,Manufacturing,4800000,SME,Large,No,No,No,Rejected
SMEServ36,Services,3800000,SME,Small,No,No,No,Rejected
SMEServ37,Services,4200000,SME,Large,Yes,Yes,Yes,Approved
SMEServ38,Services,2900000,SME,Small,No,Yes,Yes,Rejected
SMEServ39,Services,2300000,SME,Small,Yes,Yes,Yes,Approved
SMEServ40,Services,300000,SME,Small,No,No,Yes,Rejected
SMEServ41,Services,4700000,SME,Small,No,Yes,No,Rejected
SMEManu42,Manufacturing,1100000,SME,Large,No,No,Yes,Rejected
SMETrad43,Trading,1500000,SME,Small,Yes,No,No,Rejected
SMETrad44,Trading,4300000,SME,Small,No,Yes,No,Rejected
SMETrad45,Trading,4700000,SME,Medium,No,No,Yes,Rejected
SMEServ46,Services,2000000,SME,Small,No,No,No,Rejected
SMETrad47,Trading,2500000,SME,Large,Yes,No,No,Rejected
SMEServ48,Services,1400000,SME,Small,No,Yes,Yes,Rejected
SMEManu49,Manufacturing,2900000,SME,Small,Yes,Yes,Yes,Approved
SMEServ50,Services,5000000,SME,Medium,Yes,No,Yes,Rejected
SMEManu51,Manufacturing,2100000,SME,Large,No,Yes,No,Rejected
SMEServ52,Services,3400000,SME,Small,No,Yes,No,Rejected
SMEManu53,Manufacturing,3700000,SME,Medium,No,No,Yes,Rejected
SMEServ54,Services,2300000,SME,Medium,No,No,No,Rejected
SMEManu55,Manufacturing,4200000,SME,Medium,No,Yes,No,Rejected
SMETrad56,Trading,4900000,SME,Medium,Yes,Yes,Yes,Approved
SMETrad57,Trading,4600000,SME,Small,No,Yes,No,Rejected
SMEManu58,Manufacturing,2400000,SME,Medium,No,Yes,Yes,Rejected
SMETrad59,Trading,4800000,SME,Medium,No,Yes,Yes,Rejected
SMETrad60,Trading,2900000,SME,Large,Yes,Yes,Yes,Approved
SMEServ61,Services,3800000,SME,Small,Yes,Yes,Yes,Approved
SMEServ62,Services,1300000,SME,Medium,No,Yes,Yes,Rejected
SMEManu63,Manufacturing,2200000,SME,Small,Yes,Yes,No,Rejected
SMEServ64,Services,4000000,SME,Small,No,No,Yes,Rejected
SMEManu65,Manufacturing,3800000,SME,Medium,No,No,No,Rejected
SMEServ66,Services,3600000,SME,Small,Yes,No,No,Rejected
SMETrad67,Trading,3300000,SME,Medium,No,No,No,Rejected
SMEServ68,Services,800000,SME,Small,No,Yes,No,Rejected
SMEServ69,Services,3900000,SME,Large,No,No,No,Rejected
SMETrad70,Trading,4300000,SME,Medium,No,Yes,Yes,Rejected
SMETrad71,Trading,3000000,SME,Large,Yes,No,Yes,Rejected
SMETrad72,Trading,3000000,SME,Large,No,No,No,Rejected
SMEManu73,Manufacturing,1800000,SME,Medium,No,No,No,Rejected
SMEServ74,Services,2400000,SME,Medium,No,No,Yes,Rejected
SMEServ75,Services,3200000,SME,Large,Yes,Yes,No,Rejected
SMETrad76,Trading,2200000,SME,Small,No,Yes,No,Rejected
SMEServ77,Services,1200000,SME,Small,Yes,Yes,No,Rejected
SMEServ78,Services,3400000,SME,Large,Yes,No,No,Rejected
SMEManu79,Manufacturing,1300000,SME,Large,No,Yes,No,Rejected
SMEServ80,Services,4400000,SME,Large,No,No,Yes,Rejected
SMEManu81,Manufacturing,4500000,SME,Medium,Yes,No,Yes,Rejected
SMEManu82,Manufacturing,2100000,SME,Large,No,Yes,Yes,Rejected
SMETrad83,Trading,600000,SME,Small,Yes,Yes,Yes,Approved
SMETrad84,Trading,2400000,SME,Small,Yes,Yes,No,Rejected
SMEServ85,Services,4700000,SME,Small,No,No,Yes,Rejected
SMETrad86,Trading,4200000,SME,Medium,Yes,No,No,Rejected
SMETrad87,Trading,2600000,SME,Medium,No,Yes,Yes,Rejected
SMEManu88,Manufacturing,900000,SME,Medium,Yes,Yes,No,Rejected
SMEServ89,Services,1200000,SME,Small,No,Yes,No,Rejected
SMETrad90,Trading,4400000,SME,Small,Yes,Yes,No,Rejected
SMEServ91,Services,1100000,SME,Large,Yes,No,Yes,Rejected
SMEServ92,Services,2900000,SME,Small,Yes,No,Yes,Rejected
SMEServ93,Services,4300000,SME,Large,No,Yes,Yes,Rejected
SMETrad94,Trading,4200000,SME,Large,Yes,Yes,No,Rejected
SMETrad95,Trading,2500000,SME,Small,No,No,No,Rejected
SMETrad96,Trading,4100000,SME,Medium,Yes,Yes,Yes,Approved
SMETrad97,Trading,3900000,SME,Medium,No,Yes,No,Rejected
SMEManu98,Manufacturing,800000,SME,Medium,Yes,No,Yes,Rejected
SMEManu99,Manufacturing,1900000,SME,Small,No,No,Yes,Rejected
SMEManu100,Manufacturing,300000,SME,Medium,Yes,No,Yes,Rejected
SMEManu101,Manufacturing,1200000,SME,Small,No,Yes,Yes,Rejected
SMETrad102,Trading,3900000,SME,Large,No,No,No,Rejected
SMEServ103,Services,700000,SME,Large,No,Yes,Yes,Rejected
SMETrad104,Trading,1100000,SME,Small,No,Yes,No,Rejected
SMEManu105,Manufacturing,2400000,SME,Large,No,No,No,Rejected
SMEServ106,Services,2700000,SME,Large,No,No,No,Rejected
SMEManu107,Manufacturing,4900000,SME,Medium,No,No,No,Rejected
SMEServ108,Services,1500000,SME,Small,Yes,No,No,Rejected
SMETrad109,Trading,400000,SME,Medium,Yes,Yes,Yes,Approved
SMEServ110,Services,1500000,SME,Small,Yes,Yes,No,Rejected
SMETrad111,Trading,1300000,SME,Large,Yes,No,No,Rejected
SMEManu112,Manufacturing,4000000,SME,Small,Yes,No,Yes,Rejected
SMEManu113,Manufacturing,100000,SME,Large,No,No,Yes,Rejected
SMEServ114,Services,900000,SME,Small,No,No,No,Rejected
SMETrad115,Trading,4600000,SME,Medium,No,No,Yes,Rejected
SMETrad116,Trading,2800000,SME,Medium,Yes,Yes,Yes,Approved
SMEManu117,Manufacturing,4800000,SME,Large,No,No,Yes,Rejected
SMEManu118,Manufacturing,100000,SME,Medium,No,No,No,Rejected
SMETrad119,Trading,1100000,SME,Large,Yes,Yes,No,Rejected
SMEServ120,Services,2000000,SME,Medium,No,Yes,Yes,Rejected
SMETrad121,Trading,5000000,SME,Small,Yes,No,No,Rejected
SMETrad122,Trading,2400000,SME,Medium,Yes,Yes,Yes,Approved
SMEManu123,Manufacturing,1500000,SME,Large,Yes,Yes,No,Rejected
SMEServ124,Services,3700000,SME,Small,No,Yes,Yes,Rejected
SMEManu125,Manufacturing,3700000,SME,Small,Yes,Yes,No,Rejected
SMEManu126,Manufacturing,3100000,SME,Medium,No,No,No,Rejected
SMEManu127,Manufacturing,700000,SME,Small,No,No,Yes,Rejected
SMEManu128,Manufacturing,4200000,SME,Large,Yes,No,No,Rejected
SMEServ129,Services,800000,SME,Large,Yes,Yes,No,Rejected
SMEManu130,Manufacturing,3800000,SME,Large,No,Yes,No,Rejected
SMEManu131,Manufacturing,2100000,SME,Large,Yes,No,No,Rejected
SMEManu132,Manufacturing,3700000,SME,Medium,No,No,No,Rejected
SMEServ133,Services,2900000,SME,Large,No,Yes,Yes,Rejected
SMEServ134,Services,500000,SME,Small,Yes,Yes,Yes,Approved
SMEServ135,Services,300000,SME,Medium,No,No,Yes,Rejected
SMETrad136,Trading,200000,SME,Large,Yes,Yes,Yes,Approved
SMEManu137,Manufacturing,2600000,SME,Small,No,No,No,Rejected
SMEServ138,Services,4300000,SME,Medium,Yes,Yes,Yes,Approved
SMETrad139,Trading,1300000,SME,Small,Yes,Yes,Yes,Approved
SMEServ140,Services,1900000,SME,Small,No,No,No,Rejected
SMEServ141,Services,2500000,SME,Small,No,Yes,Yes,Rejected
SMEServ142,Services,1300000,SME,Large,No,Yes,Yes,Rejected
SMEManu143,Manufacturing,3000000,SME,Small,Yes,No,Yes,Rejected
SMEServ144,Services,400000,SME,Large,No,No,No,Rejected
SMEManu145,Manufacturing,3500000,SME,Medium,Yes,No,Yes,Rejected
SMEManu146,Manufacturing,200000,SME,Medium,No,Yes,No,Rejected
SMETrad147,Trading,800000,SME,Large,No,Yes,Yes,Rejected
SMETrad148,Trading,5000000,SME,Small,Yes,No,No,Rejected
SMEManu149,Manufacturing,1300000,SME,Large,Yes,No,No,Rejected
SMEManu150,Manufacturing,400000,SME,Medium,No,No,No,Rejected
SMETrad151,Trading,1100000,SME,Medium,No,Yes,Yes,Rejected
SMEServ152,Services,3400000,SME,Medium,No,Yes,No,Rejected
SMETrad153,Trading,1700000,SME,Medium,Yes,Yes,Yes,Approved
SMEManu154,Manufacturing,300000,SME,Medium,Yes,Yes,Yes,Approved
SMEServ155,Services,1600000,SME,Small,No,Yes,Yes,Rejected
SMETrad156,Trading,2500000,SME,Small,Yes,No,Yes,Rejected
SMEManu157,Manufacturing,4500000,SME,Large,Yes,No,No,Rejected
SMEServ158,Services,3900000,SME,Small,No,Yes,Yes,Rejected
SMEManu159,Manufacturing,1100000,SME,Medium,Yes,No,No,Rejected
SMEManu160,Manufacturing,3900000,SME,Small,No,No,No,Rejected
SMETrad161,Trading,3700000,SME,Small,Yes,No,Yes,Rejected
SMEManu162,Manufacturing,1300000,SME,Medium,Yes,No,No,Rejected
SMEManu163,Manufacturing,1800000,SME,Small,Yes,No,No,Rejected
SMEServ164,Services,5000000,SME,Medium,No,No,No,Rejected
SMEServ165,Services,2500000,SME,Large,Yes,Yes,Yes,Approved
SMEServ166,Services,700000,SME,Medium,Yes,Yes,Yes,Approved
SMETrad167,Trading,4200000,SME,Large,Yes,No,No,Rejected
SMEServ168,Services,900000,SME,Small,Yes,Yes,Yes,Approved
SMEServ169,Services,2500000,SME,Medium,Yes,No,No,Rejected
SMEManu170,Manufacturing,700000,SME,Large,No,No,No,Rejected
SMEServ171,Services,1100000,SME,Small,Yes,No,No,Rejected
SMETrad172,Trading,100000,SME,Large,No,Yes,Yes,Rejected
SMETrad173,Trading,4900000,SME,Large,No,Yes,No,Rejected
SMEServ174,Services,3300000,SME,Small,Yes,No,Yes,Rejected
SMEServ175,Services,3300000,SME,Medium,No,No,Yes,Rejected
SMETrad176,Trading,2700000,SME,Large,No,Yes,No,Rejected
SMETrad177,Trading,1200000,SME,Medium,Yes,Yes,No,Rejected
SMETrad178,Trading,400000,SME,Medium,No,Yes,Yes,Rejected
SMEManu179,Manufacturing,1300000,SME,Medium,No,Yes,No,Rejected
SMEManu180,Manufacturing,3400000,SME,Large,Yes,Yes,Yes,Approved
SMEServ181,Services,3700000,SME,Medium,Yes,Yes,Yes,Approved
SMETrad182,Trading,500000,SME,Medium,Yes,Yes,Yes,Approved
SMEManu183,Manufacturing,100000,SME,Large,Yes,Yes,No,Rejected
SMETrad184,Trading,3500000,SME,Large,No,No,No,Rejected
SMEManu185,Manufacturing,3000000,SME,Medium,Yes,No,Yes,Rejected
SMEServ186,Services,4500000,SME,Large,No,No,No,Rejected
SMEManu187,Manufacturing,1500000,SME,Small,Yes,Yes,No,Rejected
SMEServ188,Services,5000000,SME,Medium,No,Yes,No,Rejected
SMETrad189,Trading,1100000,SME,Large,Yes,Yes,No,Rejected
SMEManu190,Manufacturing,4500000,SME,Medium,No,No,Yes,Rejected
SMETrad191,Trading,4600000,SME,Small,Yes,No,No,Rejected
SMEManu192,Manufacturing,2100000,SME,Large,No,No,No,Rejected
SMEManu193,Manufacturing,4800000,SME,Large,Yes,Yes,Yes,Approved
SMEManu194,Manufacturing,2800000,SME,Large,No,No,Yes,Rejected
SMEManu195,Manufacturing,4200000,SME,Large,No,Yes,Yes,Rejected
SMETrad196,Trading,3300000,SME,Medium,Yes,No,No,Rejected
SMEServ197,Services,2400000,SME,Medium,No,No,Yes,Rejected
SMEServ198,Services,3000000,SME,Medium,Yes,No,Yes,Rejected
SMETrad199,Trading,4400000,SME,Medium,Yes,No,Yes,Rejected
SMEManu200,Manufacturing,1500000,SME,Large,Yes,Yes,Yes,Approved
SMEManu201,Manufacturing,1500000,SME,Large,Yes,Yes,Yes,Approved
SMEManu202,Manufacturing,3400000,SME,Large,No,Yes,Yes,Rejected
SMEServ203,Services,3300000,SME,Small,Yes,Yes,No,Rejected
SMEManu204,Manufacturing,3000000,SME,Medium,No,No,Yes,Rejected
SMETrad205,Trading,700000,SME,Large,No,Yes,No,Rejected
SMETrad206,Trading,1300000,SME,Large,No,No,No,Rejected
SMEServ207,Services,1500000,SME,Medium,No,No,Yes,Rejected
SMEManu208,Manufacturing,1900000,SME,Large,No,No,No,Rejected
SMETrad209,Trading,400000,SME,Large,No,No,No,Rejected
SMEServ210,Services,3800000,SME,Medium,No,No,No,Rejected
SMEServ211,Services,4600000,SME,Large,Yes,Yes,Yes,Approved
SMEServ212,Services,400000,SME,Small,No,Yes,Yes,Rejected
SMETrad213,Trading,2000000,SME,Medium,No,Yes,Yes,Rejected
SMETrad214,Trading,3600000,SME,Large,No,No,Yes,Rejected
SMETrad215,Trading,2400000,SME,Small,No,Yes,No,Rejected
SMEServ216,Services,1100000,SME,Large,Yes,Yes,No,Rejected
SMEManu217,Manufacturing,1900000,SME,Small,No,No,Yes,Rejected
SMEManu218,Manufacturing,3200000,SME,Small,No,Yes,No,Rejected
SMEManu219,Manufacturing,1700000,SME,Small,No,Yes,No,Rejected
SMEManu220,Manufacturing,4000000,SME,Small,Yes,No,Yes,Rejected
SMEManu221,Manufacturing,3400000,SME,Medium,No,Yes,No,Rejected
SMEServ222,Services,3200000,SME,Large,Yes,Yes,Yes,Approved
SMETrad223,Trading,3100000,SME,Large,No,Yes,No,Rejected
SMEManu224,Manufacturing,2200000,SME,Large,Yes,No,Yes,Rejected
SMEServ225,Services,1400000,SME,Small,No,Yes,Yes,Rejected
SMETrad226,Trading,4200000,SME,Large,Yes,No,No,Rejected
SMEServ227,Services,4000000,SME,Medium,No,No,Yes,Rejected
SMEManu228,Manufacturing,1700000,SME,Small,No,No,Yes,Rejected
SMETrad229,Trading,2200000,SME,Small,Yes,Yes,No,Rejected
SMEManu230,Manufacturing,2800000,SME,Medium,Yes,No,No,Rejected
SMEServ231,Services,1300000,SME,Medium,Yes,No,Yes,Rejected
SMEManu232,Manufacturing,3200000,SME,Large,No,No,Yes,Rejected
SMETrad233,Trading,1500000,SME,Small,Yes,No,Yes,Rejected
SMETrad234,Trading,4900000,SME,Large,No,Yes,No,Rejected
SMEManu235,Manufacturing,2600000,SME,Small,No,No,No,Rejected
SMEManu236,Manufacturing,4500000,SME,Medium,No,Yes,Yes,Rejected
SMEManu237,Manufacturing,3400000,SME,Medium,Yes,Yes,Yes,Approved
SMETrad238,Trading,900000,SME,Medium,Yes,No,No,Rejected
SMEServ239,Services,1700000,SME,Small,Yes,Yes,Yes,Approved
SMEManu240,Manufacturing,900000,SME,Medium,Yes,No,No,Rejected
SMETrad241,Trading,2000000,SME,Large,No,Yes,Yes,Rejected
SMETrad242,Trading,4900000,SME,Large,No,No,Yes,Rejected
SMEManu243,Manufacturing,2700000,SME,Large,No,No,No,Rejected
SMETrad244,Trading,2300000,SME,Large,No,Yes,Yes,Rejected
SMEServ245,Services,3800000,SME,Medium,Yes,No,Yes,Rejected
SMEServ246,Services,5000000,SME,Medium,No,Yes,No,Rejected
SMETrad247,Trading,100000,SME,Medium,Yes,No,Yes,Rejected
SMETrad248,Trading,4500000,SME,Medium,Yes,Yes,Yes,Approved
SMEManu249,Manufacturing,1300000,SME,Medium,Yes,No,Yes,Rejected
SMEManu250,Manufacturing,4100000,SME,Large,No,No,No,Rejected
